GPS,Date ,"Time in 
(24 hours)","Time out
(24 hours) ",Weather ,Crew Leader (name) ,POI,General Location,Species Code,"Point Area (m²) or
 Line Depth (m)",PolygonLine ID,Direction from trail ,Distribution Code,"Does this cherry laurel or holly plant have a DBH of 20cm+? 
",Holly Berries present?,Proximity to stream or wetland,Vegetation layer ,Native Herb Layer %,Comment,Date entered by (name),POINT_X,POINT_Y,POINT_Z,Data entered into MV database
,14/10/2017,9:30:00,12:30:00,Overcast,Doug Crocker,2070,Cleveland,EH,1,,W,5,,Unknown,10m+,Herb,6-25%,2 clumps,Joseph Yang,-123.221,49.25751,89.0124,
,14/10/2017,9:30:00,12:30:00,Overcast,Doug Crocker,2071,Cleveland,EH,0.5,,W,1,,Unknown,10m+,Herb,51-75%,,Joseph Yang,-123.221,49.25703,90.3283,
,14/10/2017,9:30:00,12:30:00,Overcast,Doug Crocker,2072,Cleveland,EH,1.9,,W,5,,Unknown,10m+,Herb,6-25%,,Joseph Yang,-123.22,49.25725,90.6456,
,14/10/2017,9:30:00,12:30:00,Overcast,Doug Crocker,2073,Cleveland,EI,1.3,,W,2,,Unknown,10m+,Herb,6-25%,,Joseph Yang,-123.22,49.25711,91.4874,
,14/10/2017,9:30:00,12:30:00,Overcast,Doug Crocker,2074,Cleveland,EH,0.5,,W,1,,Unknown,10m+,Herb,1-5%,,Joseph Yang,-123.22,49.25705,92.3097,
,14/10/2017,9:30:00,12:30:00,Overcast,Doug Crocker,2075,Cleveland,EH,0.5,,W,1,,Unknown,10m+,Herb,1-5%,,Joseph Yang,-123.22,49.25708,94.2597,
,14/10/2017,9:30:00,12:30:00,Overcast,Doug Crocker,2076,Cleveland,EI,1.3,,W,3,,Unknown,10m+,Herb,1-5%,,Joseph Yang,-123.22,49.25709,93.7937,
,14/10/2017,9:30:00,12:30:00,Overcast,Doug Crocker,2077,Cleveland,EH,0.5,,W,1,,Unknown,10m+,Herb,26-50%,,Joseph Yang,-123.22,49.25696,94.8073,
,14/10/2017,9:30:00,12:30:00,Overcast,Doug Crocker,2078,Cleveland,EH,1.5,,W,3,,Unknown,10m+,Mixed,1-5%,,Joseph Yang,-123.22,49.25689,96.0707,
,14/10/2017,9:30:00,12:30:00,Overcast,Doug Crocker,2079,Cleveland,EI,0.5,,W,1,,Unknown,10m+,Herb,1-5%,,Joseph Yang,-123.22,49.25687,95.4283,
,14/10/2017,9:30:00,12:30:00,Overcast,Doug Crocker,2080,Cleveland,EH,0.5,,W,1,,Unknown,10m+,Herb,1-5%,,Joseph Yang,-123.22,49.25668,94.2382,
,14/10/2017,9:30:00,12:30:00,Overcast,Doug Crocker,2081,Cleveland,EH,1.3,,W,3,,Unknown,10m+,Herb,26-50%,,Joseph Yang,-123.22,49.25651,95.5886,
,14/10/2017,9:30:00,12:30:00,Overcast,Doug Crocker,2082,Cleveland,EI,0.5,,W,1,,Unknown,10m+,Herb,1-5%,,Joseph Yang,-123.219,49.25645,94.5176,
,14/10/2017,9:30:00,12:30:00,Overcast,Doug Crocker,2083,Cleveland,LC,1,,W,1,,Unknown,10m+,Shrub,1-5%,Not sure about the species. See photoes we took,Joseph Yang,-123.219,49.25645,97.1505,
,14/10/2017,9:30:00,12:30:00,Overcast,Doug Crocker,2084,Cleveland,EH,2,,W,3,,N/A,10m+,Tree,1-5%,Big tree with babies around,Joseph Yang,-123.22,49.25629,96.6495,
,14/10/2017,9:30:00,12:30:00,Overcast,Doug Crocker,2085,Cleveland,EI,0.5,,W,1,,Unknown,10m+,Herb,1-5%,,Joseph Yang,-123.219,49.2562,96.5676,
,14/10/2017,9:30:00,12:30:00,Overcast,Doug Crocker,2086,Cleveland,EH,5.4,,SW,6,,Unknown,10m+,Tree,51-75%,5 big trees in a cluster,Joseph Yang,-123.219,49.25607,94.5028,
,14/10/2017,9:30:00,12:30:00,Overcast,Doug Crocker,2088,Cleveland,EI,0.5,,SW,1,,Unknown,10m+,Herb,1-5%,,Joseph Yang,-123.219,49.25606,94.1453,
,14/10/2017,9:30:00,12:30:00,Overcast,Doug Crocker,2089,Cleveland,EH,0.5,,SW,1,,Unknown,10m+,Herb,1-5%,,Joseph Yang,-123.219,49.25612,94.5668,
,14/10/2017,9:30:00,12:30:00,Overcast,Doug Crocker,2090,Cleveland,EH,0.5,,SW,1,,Unknown,10m+,Herb,6-25%,,Joseph Yang,-123.219,49.25603,94.4448,
,14/10/2017,9:30:00,12:30:00,Overcast,Doug Crocker,2091,Cleveland,EH,0.5,,W,1,,Unknown,10m+,Herb,1-5%,,Joseph Yang,-123.219,49.256,94.4581,
,14/10/2017,9:30:00,12:30:00,Overcast,Doug Crocker,2092,Cleveland,EH,0.5,,W,1,,Unknown,10m+,Herb,1-5%,,Joseph Yang,-123.219,49.256,93.2365,
,14/10/2017,9:30:00,12:30:00,Overcast,Doug Crocker,2093,Cleveland,EH,0.7,L1-1,W,2,,Unknown,10m+,Shrub,1-5%,,Joseph Yang,-123.219,49.25589,92.8729,
,14/10/2017,9:30:00,12:30:00,Overcast,Doug Crocker,2094,Cleveland,EH,0.7,L-2,W,3,,Unknown,10m+,Shrub,1-5%,,Joseph Yang,-123.219,49.25588,91.7087,
,14/10/2017,9:30:00,12:30:00,Overcast,Doug Crocker,2095,Cleveland,EI,0.5,,W,1,,Unknown,10m+,Herb,1-5%,,Joseph Yang,-123.219,49.25592,91.4548,
,14/10/2017,9:30:00,12:30:00,Overcast,Doug Crocker,2096,Cleveland,EH,0.5,,W,1,,Unknown,10m+,Herb,0%,,Joseph Yang,-123.219,49.25593,91.6319,
,21/10/2017,9:30:00,12:30:00,Rain,Joseph Yang,2097,Imperial,EH,5,,E,6,,Unknown,10m+,Mixed,6-25%,,Joseph Yang,-123.203,49.25697,91.3984,
,21/10/2017,9:30:00,12:30:00,Rain,Joseph Yang,2098,Imperial,HB,,P1-1,E,8,,N/A,10m+,Shrub,6-25%,,Joseph Yang,-123.203,49.25698,89.3705,
,21/10/2017,9:30:00,12:30:00,Rain,Joseph Yang,2099,Imperial,HB,,P1-2,E,8,,N/A,10m+,Shrub,6-25%,,Joseph Yang,-123.203,49.25689,88.6776,
,21/10/2017,9:30:00,12:30:00,Rain,Joseph Yang,2100,Imperial,HB,,P1-3,E,8,,N/A,10m+,Shrub,6-25%,,Joseph Yang,-123.203,49.25692,88.7102,
,21/10/2017,9:30:00,12:30:00,Rain,Joseph Yang,2101,Imperial,HB,,P1-4,E,8,,N/A,10m+,Shrub,6-25%,,Joseph Yang,-123.203,49.257,88.0224,
,21/10/2017,9:30:00,12:30:00,Rain,Joseph Yang,2102,Imperial,HB,,P1-5,E,8,,N/A,10m+,Shrub,6-25%,,Joseph Yang,-123.203,49.25707,87.7302,
,21/10/2017,9:30:00,12:30:00,Rain,Joseph Yang,2103,Imperial,LC,0.5,,E,1,,N/A,10m+,Shrub,6-25%,,Joseph Yang,-123.203,49.25705,86.0024,
,21/10/2017,9:30:00,12:30:00,Rain,Joseph Yang,2104,Imperial,EH,2,,E,5,,Unknown,10m+,Tree,1-5%,,Joseph Yang,-123.203,49.25686,83.5318,
,21/10/2017,9:30:00,12:30:00,Rain,Joseph Yang,2105,Imperial,HB,15,L1-1,E,9,,N/A,10m+,Shrub,1-5%,,Joseph Yang,-123.203,49.25687,83.872,
,21/10/2017,9:30:00,12:30:00,Rain,Joseph Yang,2106,Imperial,HB,15,L1-2,NE,9,,N/A,10m+,Shrub,1-5%,,Joseph Yang,-123.203,49.25639,84.3368,
,21/10/2017,9:30:00,12:30:00,Rain,Joseph Yang,2107,Imperial,EH,1,,NE,1,,Unknown,10m+,Tree,1-5%,,Joseph Yang,-123.203,49.25641,84.2523,
,21/10/2017,9:30:00,12:30:00,Rain,Joseph Yang,2109,Imperial,EI,5,,NE,5,,N/A,10m+,Herb,1-5%,,Joseph Yang,-123.203,49.25632,83.6592,
,21/10/2017,9:30:00,12:30:00,Rain,Joseph Yang,2110,Imperial,LC,0.5,,NE,1,,N/A,10m+,Shrub,1-5%,,Joseph Yang,-123.203,49.25627,82.6276,
,21/10/2017,9:30:00,12:30:00,Rain,Joseph Yang,2111,Imperial,HB,2,L2-1,E,8,,N/A,10m+,Shrub,1-5%,,Joseph Yang,-123.203,49.25632,81.7058,
,21/10/2017,9:30:00,12:30:00,Rain,Joseph Yang,2112,Imperial,HB,2,L2-2,E,8,,N/A,10m+,Shrub,1-5%,,Joseph Yang,-123.203,49.25585,83.9208,
,21/10/2017,9:30:00,12:30:00,Rain,Joseph Yang,2113,Imperial,EH,2,,E,1,,Unknown,10m+,Tree,6-25%,,Joseph Yang,-123.203,49.25586,82.6882,
,21/10/2017,9:30:00,12:30:00,Rain,Joseph Yang,2114,Imperial,EH,3,,E,4,,Unknown,10m+,Tree,26-50%,,Joseph Yang,-123.202,49.25573,83.0841,
,21/10/2017,9:30:00,12:30:00,Rain,Joseph Yang,2115,Imperial,LC,2,,E,4,,N/A,10m+,Tree,6-25%,,Joseph Yang,-123.202,49.25568,83.2545,
,21/10/2017,9:30:00,12:30:00,Rain,Joseph Yang,2116,Imperial,HB,2,L3-1,E,6,,N/A,10m+,Shrub,26-50%,,Joseph Yang,-123.202,49.25573,82.3991,
,21/10/2017,9:30:00,12:30:00,Rain,Joseph Yang,2117,Imperial,HB,2,L3-2,E,8,,N/A,10m+,Shrub,26-50%,,Joseph Yang,-123.202,49.25528,82.7718,
,21/10/2017,9:30:00,12:30:00,Rain,Joseph Yang,2118,Imperial,CP,3,L4-1,E,8,,N/A,10m+,Herb,6-25%,,Joseph Yang,-123.202,49.25561,81.2565,
,21/10/2017,9:30:00,12:30:00,Rain,Joseph Yang,2119,Imperial,CP,2,L4-2,E,8,,N/A,10m+,Herb,6-25%,,Joseph Yang,-123.202,49.25533,81.2488,
,21/10/2017,9:30:00,12:30:00,Rain,Joseph Yang,2120,Imperial,EH,0.5,,E,3,,Unknown,10m+,Shrub,6-25%,,Joseph Yang,-123.202,49.25489,208.2514,
,21/10/2017,9:30:00,12:30:00,Rain,Joseph Yang,2121,Imperial,EI,1,,E,6,,N/A,10m+,Herb,1-5%,,Joseph Yang,-123.202,49.25488,207.7958,
,21/10/2017,9:30:00,12:30:00,Rain,Joseph Yang,2123,Imperial,EH,2,,NE,2,,Unknown,10m+,Shrub,1-5%,,Joseph Yang,-123.202,49.25475,198.9509,
,21/10/2017,9:30:00,12:30:00,Rain,Joseph Yang,2124,Imperial,EI,1,L5-1,NE,2,,N/A,10m+,Herb,1-5%,,Joseph Yang,-123.202,49.25468,191.0373,
,21/10/2017,9:30:00,12:30:00,Rain,Joseph Yang,2125,Imperial,EI,1,L5-2,NE,2,,N/A,10m+,Herb,1-5%,,Joseph Yang,-123.202,49.25464,186.787,
,21/10/2017,9:30:00,12:30:00,Rain,Joseph Yang,2126,Imperial,EI,2,,NE,3,,N/A,10m+,Herb,26-50%,,Joseph Yang,-123.202,49.25445,174.3701,
,21/10/2017,9:30:00,12:30:00,Rain,Joseph Yang,2127,Imperial,CP,1.5,,NE,8,,N/A,10m+,Herb,1-5%,,Joseph Yang,-123.202,49.25424,165.9557,
,21/10/2017,9:30:00,12:30:00,Rain,Joseph Yang,2128,Imperial,EI,1,,NE,3,,N/A,10m+,Herb,1-5%,,Joseph Yang,-123.202,49.25423,162.6254,
,21/10/2017,9:30:00,12:30:00,Rain,Joseph Yang,2129,Imperial,CP,2,,NE,7,,N/A,10m+,Herb,1-5%,,Joseph Yang,-123.202,49.25412,157.968,
,21/10/2017,9:30:00,12:30:00,Rain,Joseph Yang,2130,Imperial,EI,0.5,,NE,1,,N/A,10m+,Tree,6-25%,Climbing on tree,Joseph Yang,-123.201,49.25408,154.0179,
,21/10/2017,9:30:00,12:30:00,Rain,Joseph Yang,2131,Imperial,EI,1,,NE,2,,N/A,10m+,Herb,1-5%,,Joseph Yang,-123.202,49.25395,147.9096,
,21/10/2017,9:30:00,12:30:00,Rain,Joseph Yang,2132,Imperial,CP,5,,NE,3,,N/A,10m+,Herb,1-5%,,Joseph Yang,-123.201,49.25396,145.055,
,21/10/2017,9:30:00,12:30:00,Rain,Joseph Yang,2133,Imperial,CP,5,,NE,6,,N/A,10m+,Herb,1-5%,,Joseph Yang,-123.201,49.2532,136.7323,
,21/10/2017,9:30:00,12:30:00,Rain,Joseph Yang,2134,Imperial,CP,1,,E,3,,N/A,10m+,Herb,1-5%,,Joseph Yang,-123.201,49.2528,121.1385,
,21/10/2017,9:30:00,12:30:00,Rain,Joseph Yang,2135,Imperial,EI,2,,E,8,,N/A,10m+,Herb,1-5%,,Joseph Yang,-123.201,49.25259,117.3842,
,21/10/2017,9:30:00,12:30:00,Rain,Joseph Yang,2136,Imperial,CP,2,L6-1,E,8,,N/A,10m+,Shrub,1-5%,,Joseph Yang,-123.202,49.25153,115.0178,
,21/10/2017,9:30:00,12:30:00,Rain,Joseph Yang,2137,Imperial,CP,2,L6-2,E,8,,N/A,10m+,Herb,1-5%,,Joseph Yang,-123.202,49.25134,115.2591,
,21/10/2017,9:30:00,12:30:00,Rain,Joseph Yang,2138,Imperial,CP,2,L7-1,SE,4,,N/A,10m+,Herb,1-5%,,Joseph Yang,-123.202,49.25109,114.6901,
,21/10/2017,9:30:00,12:30:00,Rain,Joseph Yang,2139,Imperial,CP,2,L7-2,SE,8,,N/A,10m+,Herb,1-5%,,Joseph Yang,-123.202,49.25088,114.5553,
,21/10/2017,9:30:00,12:30:00,Rain,Joseph Yang,2140,Imperial,HB,2,,SE,8,,N/A,10m+,Shrub,1-5%,,Joseph Yang,-123.202,49.25074,113.512,
,21/10/2017,9:30:00,12:30:00,Rain,Joseph Yang,2141,Imperial,HB,1,,SE,1,,N/A,10m+,Shrub,26-50%,,Joseph Yang,-123.202,49.25069,113.6042,
,21/10/2017,9:30:00,12:30:00,Rain,Joseph Yang,2143,Imperial,CP,0.5,,SE,3,,N/A,10m+,Herb,6-25%,,Joseph Yang,-123.203,49.25066,111.7018,
,21/10/2017,9:30:00,12:30:00,Rain,Joseph Yang,2144,Imperial,CP,0.5,,SE,8,,N/A,10m+,Herb,1-5%,,Joseph Yang,-123.203,49.25043,108.3956,
,21/10/2017,9:30:00,12:30:00,Rain,Joseph Yang,2146,Imperial,EI,1.5,,SE,4,,N/A,10m+,Herb,6-25%,,Joseph Yang,-123.203,49.25042,108.931,
,28/10/2017,9:30:00,12:30:00,Clear,Wendy Thompson,2148,Top,EI,2,,W,,,N/A,10m+,Mixed,1-5%,,Joseph Yang,-123.212,49.25811,90.9724,
,28/10/2017,9:30:00,12:30:00,Clear,Wendy Thompson,2149,Top,HB,1.5,,W,7,,N/A,10m+,Mixed,6-25%,,Joseph Yang,-123.212,49.25806,89.4802,
,28/10/2017,9:30:00,12:30:00,Clear,Wendy Thompson,2150,Top,LC,2,,W,3,,N/A,10m+,Tree,6-25%,5m west of trail,Joseph Yang,-123.212,49.25808,88.2632,
,28/10/2017,9:30:00,12:30:00,Clear,Wendy Thompson,2151,Top,EI,0.5,,W,2,,N/A,10m+,Herb,26-50%,,Joseph Yang,-123.212,49.25802,87.4385,
,28/10/2017,9:30:00,12:30:00,Clear,Wendy Thompson,2152,Top,EI,5,,W,4,,N/A,10m+,Herb,6-25%,A whole bunch of ivy patches spread out,Joseph Yang,-123.212,49.25791,86.2176,
,28/10/2017,9:30:00,12:30:00,Clear,Wendy Thompson,2153,Top,EI,7,L1-1,W,,,N/A,10m+,Herb,1-5%,,Joseph Yang,-123.212,49.25792,87.1752,
,28/10/2017,9:30:00,12:30:00,Clear,Wendy Thompson,2154,Top,EI,7,L1-2,W,,,N/A,10m+,Herb,6-25%,,Joseph Yang,-123.212,49.25793,87.035,
,28/10/2017,9:30:00,12:30:00,Clear,Wendy Thompson,2155,Top,EI,7,L1-3,W,,,N/A,10m+,Herb,6-25%,One big patch deep into forest,Joseph Yang,-123.212,49.25782,87.8458,
,28/10/2017,9:30:00,12:30:00,Clear,Wendy Thompson,2156,Top,EI,0.6,,W,4,,N/A,10m+,Herb,26-50%,,Joseph Yang,-123.212,49.25777,89.4609,
,28/10/2017,9:30:00,12:30:00,Clear,Wendy Thompson,2157,Top,EI,1.2,,W,5,,N/A,10m+,Herb,1-5%,,Joseph Yang,-123.212,49.25771,89.592,
,28/10/2017,9:30:00,12:30:00,Clear,Wendy Thompson,2158,Top,EH,0.85,,W,1,,N/A,10m+,Tree,1-5%,,Joseph Yang,-123.212,49.25773,91.6533,
,28/10/2017,9:30:00,12:30:00,Clear,Wendy Thompson,2159,Top,EI,0.7,,W,4,,N/A,10m+,Herb,1-5%,,Joseph Yang,-123.212,49.25763,93.9786,
,28/10/2017,9:30:00,12:30:00,Clear,Wendy Thompson,2160,Top,HB,10,L2-1,W,9,,N/A,10m+,Mixed,1-5%,"L2-1 starts at point, then arcs away from trail",Joseph Yang,-123.212,49.25776,94.4431,
,28/10/2017,9:30:00,12:30:00,Clear,Wendy Thompson,2161,Top,HB,10,L2-2,W,9,,N/A,10m+,Mixed,1-5%,Growth moves west away from trail,Joseph Yang,-123.211,49.25765,98.1411,
,28/10/2017,9:30:00,12:30:00,Clear,Wendy Thompson,2162,Top,HB,10,L2-3,W,9,,N/A,10m+,Mixed,1-5%,,Joseph Yang,-123.211,49.25753,98.1314,
,28/10/2017,9:30:00,12:30:00,Clear,Wendy Thompson,2163,Top,EH,0.5,,W,1,,N/A,10m+,Shrub,1-5%,,Joseph Yang,-123.212,49.25764,96.6516,
,28/10/2017,9:30:00,12:30:00,Clear,Wendy Thompson,2164,Top,EH,0.5,,W,1,,N/A,10m+,Shrub,1-5%,,Joseph Yang,-123.211,49.2577,97.4298,
,28/10/2017,9:30:00,12:30:00,Clear,Wendy Thompson,2165,Top,CP,8.5,,W,9,,N/A,10m+,Herb,1-5%,,Joseph Yang,-123.211,49.25769,96.633,
,28/10/2017,9:30:00,12:30:00,Clear,Wendy Thompson,2166,Top,EH,0.5,,W,1,,N/A,10m+,Shrub,1-5%,,Joseph Yang,-123.211,49.25757,95.4319,
,28/10/2017,9:30:00,12:30:00,Clear,Wendy Thompson,2167,Top,EH,1,,S,3,,N/A,10m+,Mixed,1-5%,,Joseph Yang,-123.211,49.2574,93.5451,
,28/10/2017,9:30:00,12:30:00,Clear,Wendy Thompson,2168,Top,EI,0.5,,S,2,,N/A,10m+,Herb,1-5%,,Joseph Yang,-123.211,49.25748,96.0216,
,28/10/2017,9:30:00,12:30:00,Clear,Wendy Thompson,2169,Top,EH,1,,S,3,,N/A,10m+,Mixed,1-5%,,Joseph Yang,-123.211,49.25737,96.1753,
,28/10/2017,9:30:00,12:30:00,Clear,Wendy Thompson,2170,Top,EI,2.4,,S,6,,N/A,10m+,Mixed,26-50%,Ivy climbing way up small cedar tree,Joseph Yang,-123.211,49.25735,97.9359,
,28/10/2017,9:30:00,12:30:00,Clear,Wendy Thompson,2171,Top,EH,1.1,,S,2,,N/A,10m+,Shrub,6-25%,,Joseph Yang,-123.211,49.25736,98.9945,
,28/10/2017,9:30:00,12:30:00,Clear,Wendy Thompson,2172,Top,EH,0.5,,S,1,,N/A,10m+,Tree,51-75%,,Joseph Yang,-123.21,49.2574,99.1356,
,28/10/2017,9:30:00,12:30:00,Clear,Wendy Thompson,2173,Top,EH,1.3,,S,4,,N/A,10m+,Mixed,6-25%,,Joseph Yang,-123.21,49.25741,99.573,
,28/10/2017,9:30:00,12:30:00,Clear,Wendy Thompson,2174,Top,EH,1,,S,2,,N/A,10m+,Shrub,6-25%,,Joseph Yang,-123.21,49.25733,99.9062,
,28/10/2017,9:30:00,12:30:00,Clear,Wendy Thompson,2175,Top,EH,0.5,,S,1,,Unknown,10m+,Shrub,6-25%,,Joseph Yang,-123.213,49.2582,99.9751,
,14/10/2017,9:30:00,12:30:00,Overcast,Doug Crocker,2604,Cleveland,EH,0.5,,E,2,,Unknown,10m+,Herb,1-5%,,Joseph Yang,-123.221,49.25786,77.5644,
,14/10/2017,9:30:00,12:30:00,Overcast,Doug Crocker,2605,Cleveland,EH,2,,NE,6,,Unknown,10m+,Herb,1-5%,,Joseph Yang,-123.221,49.25777,78.3206,
,14/10/2017,9:30:00,12:30:00,Overcast,Doug Crocker,2606,Cleveland,EH,3,,NE,6,,Unknown,10m+,Mixed,76-100%,,Joseph Yang,-123.221,49.25755,78.9058,
,14/10/2017,9:30:00,12:30:00,Overcast,Doug Crocker,2612,Cleveland,EH,2,,E,3,,Unknown,10m+,Mixed,26-50%,,Joseph Yang,-123.221,49.25758,86.2781,
,14/10/2017,9:30:00,12:30:00,Overcast,Doug Crocker,2613,Cleveland,EH,2,,E,4,,Unknown,10m+,Mixed,6-25%,,Joseph Yang,-123.221,49.25745,86.6721,
,14/10/2017,9:30:00,12:30:00,Overcast,Doug Crocker,2614,Cleveland,EH,1,,E,3,,Unknown,10m+,Mixed,6-25%,,Joseph Yang,-123.221,49.25756,90.0001,
,14/10/2017,9:30:00,12:30:00,Overcast,Doug Crocker,2615,Cleveland,LC,1.5,,E,1,,N/A,10m+,Tree,26-50%,,Joseph Yang,-123.221,49.25747,89.579,
,14/10/2017,9:30:00,12:30:00,Overcast,Doug Crocker,2616,Cleveland,EH,1,,E,2,,Unknown,10m+,Mixed,6-25%,,Joseph Yang,-123.221,49.2573,90.3011,
,14/10/2017,9:30:00,12:30:00,Overcast,Doug Crocker,2617,Cleveland,EI,6,,NE,8,,N/A,10m+,Mixed,6-25%,,Joseph Yang,-123.221,49.25729,90.1115,
,14/10/2017,9:30:00,12:30:00,Overcast,Doug Crocker,2618,Cleveland,EH,0.5,,NE,2,,Unknown,10m+,Herb,6-25%,,Joseph Yang,-123.221,49.25726,90.4075,
,14/10/2017,9:30:00,12:30:00,Overcast,Doug Crocker,2619,Cleveland,EH,1,,NE,4,,Unknown,10m+,Mixed,6-25%,,Joseph Yang,-123.221,49.25726,91.5839,
,14/10/2017,9:30:00,12:30:00,Overcast,Doug Crocker,2620,Cleveland,EH,0.5,,NE,1,,Unknown,10m+,Herb,1-5%,,Joseph Yang,-123.221,49.25722,91.6381,
,14/10/2017,9:30:00,12:30:00,Overcast,Doug Crocker,2621,Cleveland,EH,0.5,,NE,1,,Unknown,10m+,Herb,1-5%,,Joseph Yang,-123.221,49.25714,91.4901,
,14/10/2017,9:30:00,12:30:00,Overcast,Doug Crocker,2622,Cleveland,EH,0.5,,NE,4,,Unknown,10m+,Herb,6-25%,,Joseph Yang,-123.22,49.25723,92.6558,
,14/10/2017,9:30:00,12:30:00,Overcast,Doug Crocker,2623,Cleveland,EH,0.5,,NE,1,,Unknown,10m+,Herb,76-100%,,Joseph Yang,-123.22,49.25726,92.8388,
,14/10/2017,9:30:00,12:30:00,Overcast,Doug Crocker,2624,Cleveland,EI,0.5,,NE,2,,Unknown,10m+,Herb,1-5%,,Joseph Yang,-123.22,49.25718,95.7842,
,14/10/2017,9:30:00,12:30:00,Overcast,Doug Crocker,2625,Cleveland,EH,0.5,,NE,1,,Unknown,10m+,Herb,1-5%,,Joseph Yang,-123.22,49.25727,95.4094,
,14/10/2017,9:30:00,12:30:00,Overcast,Doug Crocker,2626,Cleveland,EI,3,,NE,8,,Unknown,10m+,Herb,1-5%,,Joseph Yang,-123.22,49.25715,96.3856,
,14/10/2017,9:30:00,12:30:00,Overcast,Doug Crocker,2627,Cleveland,EI,2,,NE,2,,Unknown,10m+,Shrub,26-50%,,Joseph Yang,-123.219,49.25711,97.5995,
,14/10/2017,9:30:00,12:30:00,Overcast,Doug Crocker,2628,Cleveland,EI,1,,E,4,,N/A,10m+,Herb,1-5%,,Joseph Yang,-123.22,49.25701,98.4246,
,14/10/2017,9:30:00,12:30:00,Overcast,Doug Crocker,2629,Cleveland,EH,3,,NE,1,,N/A,10m+,Tree,6-25%,,Joseph Yang,-123.219,49.25683,98.0771,
,14/10/2017,9:30:00,12:30:00,Overcast,Doug Crocker,2630,Cleveland,EI,0.5,,NE,1,,N/A,10m+,Herb,26-50%,,Joseph Yang,-123.219,49.25652,96.9669,
,14/10/2017,9:30:00,12:30:00,Overcast,Doug Crocker,2631,Admiralty,EH,2,,NE,2,,N/A,10m+,Tree,51-75%,,Joseph Yang,-123.219,49.25651,97.2057,
,14/10/2017,9:30:00,12:30:00,Overcast,Doug Crocker,2632,Cleveland,EH,3,,NE,2,,N/A,10m+,Shrub,1-5%,,Joseph Yang,-123.219,49.25611,96.5322,
,14/10/2017,9:30:00,12:30:00,Overcast,Doug Crocker,2635,Cleveland,EH,2,,NE,3,,N/A,10m+,Herb,1-5%,,Joseph Yang,-123.218,49.25594,95.9322,
,14/10/2017,9:30:00,12:30:00,Overcast,Doug Crocker,2636,Cleveland,EH,5,,N,4,,Unknown,10m+,Tree,6-25%,,Joseph Yang,-123.218,49.2559,96.8694,
,14/10/2017,9:30:00,12:30:00,Overcast,Doug Crocker,2637,Cleveland,LC,1,,N,1,,N/A,10m+,Tree,6-25%,,Joseph Yang,-123.218,49.25609,97.0039,
,14/10/2017,9:30:00,12:30:00,Overcast,Doug Crocker,2638,Cleveland,EI,3,,N,7,,Unknown,10m+,Herb,6-25%,,Joseph Yang,-123.218,49.25608,97.7425,
,14/10/2017,9:30:00,12:30:00,Overcast,Doug Crocker,2639,Cleveland,EI,3,,N,3,,Unknown,10m+,Mixed,1-5%,,Joseph Yang,-123.218,49.25589,97.6956,
